FID,name,latitude,longitude
349,Mindpro,6.9080000,122.0759964
350,Liana's Supermarket,14.5595999,121.0839996
351,Robinson's Supermarket,14.2133999,121.1169968
352,Simplicity Supermarket,14.8018999,121.0360031
353,Puregold Jr.,14.6283998,121.0139999
354,168,10.3109999,123.9520035
355,Multinational Supermarket,14.4938002,121.0039978
356,Circle J,14.8275003,120.2829971
357,YBC Supermart,14.8305998,120.2799988
358,Savemore Market,14.4160004,121.0390015
359,Farmacia Comprendio,11.1801004,119.3899994
360,SM Hypermart ssm eton,14.6438999,121.0390015
361,Jenra Mall Supermarket,15.1360998,120.5879974
362,Robinson Supermarket Nepo Mall,15.1352997,120.5879974
363,Save Wise Supermarket,16.0235996,120.7480011
364,CSI Tayug,16.0209999,120.7470016
365,JY Supermarket,10.3304005,123.8980026
366,Puregold,14.2285004,121.1389999
367,J Centre Mall,10.3360004,123.9339981
368,Savemore,10.3627005,123.9489975
369,Metro Gaisano Alabang Supermarket,14.4245005,121.0299988
370,Puregold,14.5850000,121.0579987
371,N E Bodega Supermarket,15.4673004,120.9629974
372,SM Supermarket,14.4575005,121.0329971
373,Novo Fashion House,13.9202003,122.0979996
374,All Day Supermarket,14.3768997,121.0110016
375,Capparos Mart,13.9208002,122.1009979
376,Caparros Mart,13.9210997,122.1019974
377,Tiong San Supermarket,16.4433002,120.5920029
378,All Day,14.5825005,121.0530014
379,NE Super Bodega,15.7810001,120.9680023
380,Prince Hypermart Naval,11.5639000,124.4000015
381,Puregold Extra,14.6588001,121.1129990
382,Wilmar's,11.2216997,125.0029984
383,Rustan’s Fresh,14.5577002,121.0230026
384,Unimec Supermarket,14.5660000,121.0459976
385,Eastern supermarket,14.4989004,121.2850037
386,Puregold Marasbaras,11.1980000,125.0059967
387,kilat,16.6770992,120.4250031
388,New City Supermarket,16.4200001,120.5979996
389,Sun Trading,6.1082501,125.1800003
390,Unitop,6.1094899,125.1790009
391,WalterMart Supermarket,14.2803001,120.8710022
392,Savemore,14.5215998,121.0650024
393,Friendly Mart,8.5851603,123.3399963
394,Prince Warehouse Club - Bogo,11.0538998,124.0120010
395,Super Metro Bogo,11.0551996,124.0139999
396,SaveMore Market,16.6916008,121.5550003
397,Robinsons Supermarket,14.5854998,121.1129990
398,Glee Mart,14.6590004,121.1129990
399,Robinsons Supermarket,11.2082005,125.0080032
400,Puregold Jr. Taytay Palengke,14.5595999,121.1360016
401,University Store,14.2167997,121.0390015
402,Gaddi Arcade,15.0949001,120.7659988
403,TWG Mart,14.5757999,121.0410004
404,Vallecer's,8.5876303,123.3399963
405,Vallecer's,8.5872498,123.3410034
406,Lee Plaza,9.3018103,123.2969971
