FID,amenity,name,latitude,longitude
235,restaurant,Mandarin Tea Garden,7.0763402,125.6159973
236,restaurant,North Park,14.5595999,121.0159988
237,restaurant,Max's Restaurant,14.5595999,121.0159988
238,restaurant,Chowking,14.6210003,121.0630035
239,restaurant,Mandarin,7.0659699,125.6100006
240,restaurant,Mandarin Tea Garden,7.0688601,125.6060028
241,restaurant,Kusina Selera,7.0680799,125.6060028
242,restaurant,Davao Lounge,7.0685401,125.6060028
243,restaurant,Sisig Society,14.5564003,121.0199966
244,restaurant,Tokyo Tokyo To Go,14.5567999,121.0189972
245,restaurant,Andoks,14.5518999,121.0130005
246,restaurant,Sinangag Express,14.5523005,121.0139999
247,restaurant,Amici,14.5513000,121.0139999
248,restaurant,Hagar's Place,7.1065602,125.6460037
249,restaurant,Panadero,7.0653100,125.6060028
250,restaurant,Yellow Cab Pizza Co.,14.5607004,121.0149994
251,restaurant,Karlyn's,7.0776200,125.5820007
252,restaurant,Chino's,14.1688995,121.2440033
253,restaurant,Magellan's Garden Grill & Restobar,15.7981997,120.9950027
254,restaurant,Marquez Restaurant,15.7980003,120.9940033
255,restaurant,Tachibana Izakaya Robota,14.5499001,121.0230026
256,restaurant,Isshin,14.5488005,121.0250015
257,restaurant,Yakiniku sakura,14.5490999,121.0240021
258,restaurant,Golden Brown,7.0685101,125.6060028
259,restaurant,Azuthai,14.5508003,121.0189972
260,restaurant,Tsukiji,14.5508003,121.0189972
261,restaurant,Cirkulo,14.5508003,121.0189972
262,restaurant,Kikufuji,14.5536003,121.0139999
263,restaurant,Shakey's,14.5529003,121.0139999
264,restaurant,Pia's Cafe,7.0566602,125.5999985
265,restaurant,Pancake House,14.6215000,121.0230026
266,restaurant,Dencio's,7.0677900,125.6070023
267,restaurant,Starburst Hardware,7.0137100,125.4960022
268,restaurant,Mars Agri Business,7.0137200,125.4960022
269,restaurant,Bulls,7.0993900,125.6149979
270,restaurant,121 Grill and Restaurant,14.5600996,121.0240021
