FID,name,latitude,longitude
234,Molino UV Express Terminal,14.4056997,120.9779968
235,DLTB Co Bus Terminal - Pagbilao,13.9638004,121.6579971
236,Bus Station,13.9766998,121.6949997
237,Baliwag Transit - San Rafael Terminal,14.9801998,120.9250031
238,ER Supermall Parking Space,6.9569001,126.2129974
239,Viron Transit - Tayug Terminal,16.0282993,120.7429962
240,HPQ,11.2145004,123.1090012
241,Malolos Bus Stop,14.8509998,120.8180008
242,Balagbag Jeepney Terminal,13.9805002,121.3010025
243,Jeepney Terminal to Malolos,14.8868999,120.8639984
244,Dunkin' Donuts,14.901,120.8669968
245,Jeepney Terminal: Calumpit - Meycauayan,14.9076004,120.7679977
246,Jeepney Terminal: Malolos-Hagonoy via Paombong,14.8498001,120.822998
247,Panoolan Stop,10.4406996,123.3560028
248,Bus Station,17.6149006,121.7300034
249,Gingoog City West Bound Terminal,8.8228998,125.1080017
250,Ever Jeepney Terminal,14.6779003,121.0839996
251,Jackpherlin Bus Terminal,14.8015003,121.0719986
252,Solaire Shuttle,14.5235996,120.9820023
253,Jeepney Terminal,6.0667901,125.1269989
254,Airport Shuttle,14.5101004,121.012001
255,Resort's World Bus station,14.5101995,121.012001
256,Viron Transit - Vigan Terminal,17.5713005,120.3860016
257,Bacolod-Sipalay,9.7718201,122.4339981
258,Bus Station,18.198,120.5930023
259,Lallo Bus Line Terminal,17.6266994,121.7310028
260,Maligcong and Mainit Jeepneys Station,17.0890999,120.9759979
261,Bontoc - Banaue,17.0872002,120.9769974
262,UV Express South Bound,14.5492001,121.026001
263,Madapdap - Angeles Jeepney Terminal,15.2250996,120.6080017
264,UV Express Pasig Masinag Concepcion,14.5555,121.0630035
265,Laoag - Vigan,18.1965008,120.5940018
266,Laoag - Pagudpud,18.1966991,120.5940018
267,UV Express,14.5943003,121.1729965
268,Lingayen Common Bus Terminal,16.0177994,120.2310028
269,A2Z Utilitity Van Terminal,7.2240701,124.2490005
270,Ceres Liner - Culasi Terminal,11.4222002,122.0550003
271,Calbayog Bus Station,12.0691004,124.5569992
272,PUJ Terminal Tanauan Talisay,14.0857,121.1320038
273,Olivarez/Central Mall Jeepney Terminal,14.3330002,121.0820007
274,Southern Star Bus Terminal,9.9523497,123.961998
